Description	ID	Physalia	Nanomia	Agalma	Abylopsis	Craseoa	Hydra	Nematostella
234	234	4	2	3	2	1	1	1
235	235	1	3	2	2	3	2	2
236	236	3	2	2	2	3	2	2
237	237	3	2	2	2	3	1	3
238	238	2	3	2	3	3	2	1
239	239	3	3	2	5	2	1	0
240	240	2	1	1	8	2	1	1
241	241	3	3	6	0	1	0	3
242	242	4	3	1	2	2	2	2
243	243	2	3	3	2	4	1	1
244	244	2	4	3	2	3	1	1
245	245	1	1	1	1	2	1	8
246	246	5	2	1	0	0	8	0
247	247	1	2	1	0	3	6	3
248	248	3	3	2	1	2	2	3
249	249	2	2	3	4	3	1	1
250	250	1	2	3	0	0	1	7
251	251	2	3	4	2	3	1	1
252	252	3	2	2	2	1	3	2
253	253	3	2	2	1	2	2	2
254	254	5	1	1	4	3	1	1
255	255	4	2	2	2	3	1	2
256	256	2	1	2	5	4	1	1
257	257	4	2	3	3	2	1	1
258	258	1	1	2	3	4	3	2
259	259	4	4	2	1	1	1	2
260	260	0	3	3	0	1	1	7
261	261	0	3	6	2	3	1	0
262	262	0	3	6	2	4	0	0
263	263	1	2	2	2	1	2	3
264	264	3	2	2	0	3	3	2
265	265	4	2	1	2	2	2	2
266	266	1	3	2	4	3	1	1
267	267	0	4	2	2	4	1	2
268	268	3	1	3	1	1	3	2
269	269	1	3	2	2	5	2	0
270	270	2	2	1	3	5	1	1
271	271	3	2	5	0	2	3	0
272	272	2	2	3	3	0	1	1
273	273	0	2	3	2	3	2	3
274	274	2	2	2	2	2	2	2
275	275	4	2	2	1	2	2	2
276	276	2	2	2	1	4	1	3
277	277	5	1	2	0	2	2	3
278	278	0	4	5	1	3	2	0
279	279	1	2	3	3	2	3	1
280	280	0	1	1	2	8	1	2
281	281	2	2	2	3	5	1	0
282	282	1	3	3	2	1	1	4
283	283	3	2	2	2	2	2	1
284	284	3	3	3	2	3	1	0
285	285	1	3	3	3	3	2	0
286	286	2	2	2	1	3	3	2
287	287	4	0	3	1	3	4	0
288	288	3	2	2	1	2	3	1
289	289	2	5	3	1	2	1	1
290	290	2	2	5	1	2	1	2
291	291	3	2	2	4	2	1	1
292	292	2	4	3	2	2	1	1
293	293	0	1	2	3	1	2	3
294	294	1	1	1	0	1	11	0
295	295	1	3	2	4	3	1	1
296	296	1	2	2	4	2	3	1
297	297	2	1	2	4	4	1	1
298	298	0	3	3	2	1	1	2
299	299	3	3	6	0	1	2	0
300	300	6	1	1	2	3	1	1
301	301	4	2	2	4	2	1	0
302	302	5	1	3	2	2	1	1
303	303	3	3	2	1	2	2	2
304	304	1	3	2	3	2	2	2
305	305	3	1	1	4	2	1	1
306	306	0	3	3	3	2	1	2
307	307	1	1	1	3	3	1	0
308	308	2	3	3	3	2	1	0
309	309	5	1	2	2	1	1	2
310	310	1	2	4	2	5	0	0
311	311	3	2	3	1	2	2	1
312	312	3	3	3	1	1	1	2
313	313	2	3	5	1	3	0	0
314	314	2	1	5	1	1	1	3
315	315	2	3	2	3	3	1	0
316	316	2	2	1	1	1	2	4
317	317	2	1	3	3	2	1	2
318	318	2	3	3	2	3	1	0
319	319	3	3	1	2	3	1	1
320	320	3	1	2	4	2	1	1
321	321	3	1	2	0	4	4	0
322	322	2	2	2	2	1	2	2
323	323	2	1	3	1	2	1	4
324	324	3	1	1	3	2	1	2
325	325	2	2	2	1	2	2	3
326	326	0	2	3	3	2	4	0
327	327	1	2	4	3	4	0	0
328	328	3	2	0	2	3	2	2
329	329	0	3	2	1	4	1	3
330	330	3	3	2	2	2	1	1
331	331	0	7	2	3	2	0	0
332	332	1	2	1	1	3	1	4
333	333	2	3	3	3	1	1	1
334	334	1	1	1	4	1	1	1
335	335	3	0	3	1	1	2	4
336	336	2	2	3	2	3	1	1
337	337	4	1	2	3	2	1	1
338	338	2	2	2	2	2	2	2
339	339	3	2	2	1	2	2	2
340	340	2	2	2	2	2	3	1
341	341	5	2	2	1	2	1	1
342	342	2	2	5	0	3	1	1
343	343	1	2	1	0	1	6	3
344	344	4	1	1	2	3	1	2
345	345	2	3	3	2	3	1	0
346	346	1	1	3	2	3	1	3
347	347	3	4	3	2	1	0	1
348	348	0	1	1	0	1	2	9
349	349	3	2	1	1	1	4	2
350	350	2	2	2	2	3	2	1
351	351	3	1	1	1	2	3	3
352	352	1	1	4	2	2	1	3
353	353	2	1	1	1	1	1	3
354	354	3	2	4	1	2	1	1
355	355	1	4	2	3	3	1	0
356	356	0	1	2	4	3	2	2
357	357	1	2	1	3	2	0	5
358	358	5	1	2	2	2	1	1
359	359	4	1	1	5	1	2	0
360	360	2	4	2	3	3	0	0
361	361	1	1	1	2	3	1	1
362	362	2	2	1	2	2	3	2
363	363	4	2	2	3	1	1	1
364	364	2	1	1	1	3	3	3
365	365	4	1	2	4	1	1	1
366	366	2	3	4	2	2	1	0
367	367	0	0	3	1	0	4	6
368	368	3	3	2	2	2	1	1
369	369	1	1	2	2	4	2	2
370	370	2	4	2	1	1	2	2
371	371	1	1	2	3	2	2	2
372	372	3	1	5	2	1	2	0
373	373	1	1	1	3	2	1	1
374	374	2	4	2	1	3	1	1
375	375	0	1	1	0	1	2	9
376	376	4	2	3	2	1	1	1
377	377	2	3	0	1	1	1	6
378	378	7	1	2	1	1	1	1
379	379	4	1	1	5	1	1	1
380	380	4	1	2	2	1	1	3
381	381	2	2	1	1	4	2	1
382	382	1	1	1	2	2	1	1
383	383	1	0	1	0	0	2	9
384	384	2	5	5	0	1	0	0
385	385	2	2	3	0	1	1	1
386	386	4	2	2	1	2	1	1
387	387	2	2	2	1	1	1	1
388	388	2	1	1	3	1	1	1
389	389	3	2	3	0	5	0	0
390	390	2	1	1	2	3	2	2
391	391	1	1	2	2	2	3	1
392	392	2	1	2	1	1	1	3
393	393	1	2	3	2	3	2	0
394	394	1	1	2	4	3	1	1
395	395	2	2	1	1	2	1	2
396	396	1	2	2	2	3	2	1
397	397	2	3	2	1	2	1	1
398	398	3	1	2	3	2	1	1
399	399	1	3	4	1	3	1	0
400	400	2	2	3	3	1	1	1
401	401	2	1	4	2	4	0	0
402	402	2	3	4	1	1	1	1
403	403	1	2	3	1	2	2	2
404	404	2	2	2	3	2	2	0
405	405	4	1	1	1	1	1	1
406	406	0	3	3	1	4	1	1
