model_id,gene,isoform
3119214,DN37896_c0_g1,1
3119215,DN37867_c0_g1,1
3119216,DN37812_c0_g1,1
3119217,DN37871_c0_g1,1
3119218,DN37856_c0_g1,1
3119219,DN37815_c0_g1,1
3119220,DN37815_c0_g2,1
3119221,DN37890_c0_g1,1
3119222,DN37898_c0_g1,1
3119223,DN37833_c0_g1,1
3119224,DN37804_c0_g1,1
3119225,DN37889_c0_g1,1
3119226,DN37860_c0_g1,1
3119227,DN37878_c0_g1,1
3119228,DN37820_c0_g1,1
3119229,DN37872_c0_g1,1
3119230,DN37805_c0_g1,1
3119231,DN37835_c0_g1,1
3119232,DN37869_c0_g1,1
3119233,DN37885_c0_g1,1
3119234,DN37801_c0_g1,1
3119235,DN37819_c0_g1,1
3119236,DN37810_c0_g1,1
3119237,DN37839_c0_g1,1
3119238,DN37874_c0_g1,1
3119239,DN37849_c0_g1,1
3119240,DN37842_c0_g1,1
3119241,DN37842_c0_g2,1
3119242,DN37892_c0_g1,1
3119243,DN37828_c0_g1,1
3119244,DN37863_c0_g1,1
3119245,DN37880_c0_g1,1
3119246,DN37879_c0_g1,1
3119247,DN37879_c0_g2,1
3119248,DN37852_c0_g1,1
3119249,DN37830_c0_g1,1
3119250,DN37895_c0_g1,1
3119251,DN28793_c0_g1,1
3119252,DN28715_c0_g1,1
3119253,DN28749_c0_g1,1
3119254,DN28763_c0_g1,1
3119255,DN28798_c0_g1,1
3119256,DN28798_c0_g2,1
3119257,DN28755_c0_g1,1
3119258,DN28723_c0_g1,1
3119259,DN28741_c0_g1,1
3119260,DN28737_c0_g1,1
3119261,DN28778_c0_g1,1
3119262,DN28743_c0_g1,1
3119263,DN28712_c0_g1,1
3119264,DN28795_c0_g1,1
3119265,DN28742_c0_g1,1
3119266,DN28747_c0_g1,1
3119267,DN28732_c0_g1,1
3119268,DN28708_c0_g1,1
3119269,DN28744_c0_g1,1
3119270,DN28780_c0_g1,1
3119271,DN28764_c0_g1,1
3119272,DN28726_c0_g1,1
3119273,DN28725_c0_g1,1
3119274,DN28748_c0_g1,1
3119275,DN28759_c0_g1,1
3119276,DN28799_c0_g1,1
3119277,DN28799_c0_g2,1
3119278,DN28751_c0_g1,1
3119279,DN28776_c0_g1,1
3119280,DN28730_c0_g1,1
3119281,DN28702_c0_g1,1
3119282,DN28716_c0_g1,1
3119283,DN28790_c0_g1,1
3119284,DN28785_c0_g1,1
3119285,DN28701_c0_g1,1
3119286,DN28720_c0_g1,1
3119287,DN28775_c0_g1,1
3119288,DN28779_c0_g1,1
3119289,DN28761_c0_g1,1
3119290,DN28794_c0_g1,1
3119291,DN28753_c0_g1,1
3119292,DN28753_c0_g2,1
3119293,DN28786_c0_g1,1
3119294,DN28733_c0_g1,1
