model_id,gene,isoform
241334,DN4769_c0_g1,1
241335,DN4769_c0_g1,2
241336,DN4713_c0_g1,1
241337,DN4723_c0_g1,1
241338,DN4723_c0_g1,2
241339,DN4735_c0_g1,1
241340,DN4754_c0_g1,1
241341,DN4754_c0_g2,1
241342,DN4742_c0_g1,1
241343,DN4719_c0_g1,1
241344,DN4757_c0_g1,1
241345,DN4779_c0_g1,1
241346,DN4777_c0_g1,1
241347,DN4701_c0_g1,1
241348,DN4716_c0_g1,1
241349,DN4716_c0_g1,2
241350,DN4705_c0_g1,1
241351,DN4745_c0_g1,1
241352,DN4711_c0_g1,1
241353,DN4704_c0_g1,1
241354,DN4737_c0_g1,1
241355,DN4733_c0_g1,1
241356,DN4793_c0_g1,1
241357,DN4793_c0_g1,2
241358,DN4797_c0_g1,1
241359,DN4797_c0_g2,1
241360,DN4752_c0_g1,1
241361,DN4752_c0_g2,1
241362,DN4784_c0_g1,1
241363,DN4702_c0_g1,1
241364,DN4712_c0_g1,1
241365,DN4741_c0_g1,1
241366,DN4731_c0_g1,1
241367,DN4731_c1_g1,1
241368,DN4771_c0_g1,1
241369,DN4792_c0_g1,1
241370,DN4792_c0_g2,1
241371,DN4783_c0_g1,1
241372,DN4763_c0_g1,1
241373,DN4763_c0_g1,2
241374,DN4717_c0_g1,1
241375,DN4710_c0_g1,1
241376,DN4774_c0_g1,1
241377,DN4774_c0_g1,2
241378,DN4750_c0_g1,1
241379,DN19766_c0_g1,1
241380,DN19703_c0_g1,1
241381,DN19760_c0_g1,1
241382,DN19793_c0_g1,1
241383,DN19706_c0_g1,1
241384,DN19768_c0_g1,1
241385,DN19752_c0_g1,1
241386,DN19732_c0_g1,1
241387,DN19761_c0_g1,1
241388,DN19729_c0_g1,1
241389,DN19778_c0_g1,1
241390,DN19718_c0_g1,1
241391,DN19741_c0_g1,1
241392,DN19756_c0_g1,1
241393,DN19728_c0_g1,1
241394,DN19742_c0_g1,1
241395,DN19788_c0_g1,1
241396,DN19796_c0_g1,1
241397,DN19773_c0_g1,1
241398,DN19740_c0_g1,1
241399,DN19795_c0_g1,1
241400,DN19767_c0_g1,1
241401,DN19711_c0_g1,1
241402,DN19748_c0_g1,1
241403,DN19748_c0_g1,2
241404,DN19744_c0_g1,1
241405,DN19759_c0_g1,1
241406,DN19707_c0_g1,1
241407,DN19737_c0_g1,1
241408,DN19719_c0_g1,1
241409,DN19730_c0_g1,1
241410,DN19779_c0_g1,1
241411,DN19772_c0_g1,1
241412,DN19789_c0_g1,1
241413,DN19722_c0_g1,1
241414,DN19739_c0_g1,1
241415,DN19784_c0_g1,1
241416,DN19712_c0_g1,1
241417,DN19775_c0_g1,1
241418,DN19709_c0_g1,1
241419,DN19749_c0_g1,1
241420,DN19738_c0_g1,1
241421,DN19708_c0_g1,1
241422,DN19733_c0_g1,1
241423,DN19746_c0_g1,1
241424,DN19734_c0_g1,1
241425,DN19745_c0_g1,1
241426,DN19790_c0_g1,1
241427,DN19753_c0_g1,1
241428,DN19713_c0_g1,1
241429,DN19791_c0_g1,1
241430,DN19750_c0_g1,1
241431,DN19774_c0_g1,1
241432,DN19735_c0_g1,1
241433,DN19780_c0_g1,1
241434,DN19758_c0_g1,1
241435,DN19757_c0_g1,1
241436,DN19776_c0_g1,1
241437,DN19720_c0_g1,1
241438,DN19782_c0_g1,1
241439,DN19701_c0_g1,1
241440,DN19726_c0_g1,1
241441,DN19794_c0_g1,1
241442,DN19723_c0_g1,1
241443,DN19700_c0_g1,1
241444,DN19710_c0_g1,1
241445,DN19764_c0_g1,1
241446,DN19715_c0_g1,1
241447,DN19714_c0_g1,1
241448,DN19770_c0_g1,1
241449,DN19769_c0_g1,1
241450,DN19736_c0_g1,1
241451,DN19724_c0_g1,1
241452,DN19787_c0_g1,1
241453,DN19781_c0_g1,1
241454,DN19704_c0_g1,1
241455,DN19792_c0_g1,1
